deck_type,card_id
Main,26077387
Main ,26077387
Main ,26077387
Main,55063751
Main,55063751
Main,37351133
Main,14558127
Main,14558127
Main,14558127
Main,4031928
Main,25311006
Main,25311006
Main,35269904
Main,35269904
Main,18144506
Main,24224830
Main,12580477
Main,12580477
Main,12580477
Main,32807846
Main,63166095
Main,63166095
Main,67169062
Main,99550630
Main,25955749
Main,51227866
Main,9726840
Main,9726840
Main,9726840
Main,52340444
Main,24299458
Main,24299458
Main,98338152
Main,98338152
Main,98338152
Main,24010609
Main,24010609
Main,50005218
Main,15693423
Main,15693423
Extra,86066372
Extra,30194529
Extra,9839945
Extra,8264361
Extra,63013339
Extra,98462037
Extra,90673288
Extra,90673288
Extra,90673288
Extra,63288573
Extra,63288573
Extra,63288573
Extra,12421694
Extra,8491308
Extra,8491308
Side,24299458
Side,43898403
Side,8267140
Side,54693926
Side,54693926
Side,8267140
Side,8267140
Side,83326048
Side,54693926
Side,83326048
Side,83326048
Side,27204311
Side,27204311
